City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,State,month,day_of_week,year,quarter,season,AQI_lag_1,AQI_lag_3,AQI_lag_7,AQI_rolling_3,AQI_rolling_7,AQI_rolling_30
Amaravati,2017-12-01,73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,0.17,2.85,0.04,191.0,Moderate,Andhra Pradesh,12,4,2017,4,0,165.0,188.0,184.0,175.33333333333334,184.14285714285714,184.14285714285714
Amaravati,2017-12-02,89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,0.25,2.79,0.07,191.0,Moderate,Andhra Pradesh,12,5,2017,4,0,191.0,173.0,184.0,176.33333333333334,185.14285714285714,185.0
Amaravati,2017-12-03,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,0.23,3.82,0.04,227.0,Poor,Andhra Pradesh,12,6,2017,4,0,191.0,165.0,197.0,182.33333333333334,186.14285714285714,185.66666666666666
Amaravati,2017-12-04,84.64,125.0,4.02,26.98,17.58,14.41,0.18,9.84,112.41,0.31,3.53,0.09,168.0,Moderate,Andhra Pradesh,12,0,2017,4,0,227.0,191.0,198.0,203.0,190.42857142857142,189.8
Amaravati,2017-12-05,88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,0.24,2.92,0.03,198.0,Moderate,Andhra Pradesh,12,1,2017,4,0,168.0,191.0,188.0,195.33333333333334,186.14285714285714,187.8181818181818
Amaravati,2017-12-06,96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,0.29,4.45,0.07,201.0,Poor,Andhra Pradesh,12,2,2017,4,0,198.0,227.0,173.0,197.66666666666666,187.57142857142858,188.66666666666666
Amaravati,2017-12-07,117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,0.36,6.21,0.17,252.0,Poor,Andhra Pradesh,12,3,2017,4,0,201.0,168.0,165.0,189.0,191.57142857142858,189.6153846153846
Amaravati,2017-12-08,122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,0.36,6.28,0.21,310.0,Very Poor,Andhra Pradesh,12,4,2017,4,0,252.0,198.0,191.0,217.0,204.0,194.07142857142858
Amaravati,2017-12-09,74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,0.26,4.79,0.16,196.0,Moderate,Andhra Pradesh,12,5,2017,4,0,310.0,201.0,191.0,254.33333333333334,221.0,201.8
Amaravati,2017-12-10,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,0.2,4.29,0.1,132.0,Moderate,Andhra Pradesh,12,6,2017,4,0,196.0,252.0,227.0,252.66666666666666,221.71428571428572,201.4375
Amaravati,2017-12-11,58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,0.23,5.51,0.16,147.0,Moderate,Andhra Pradesh,12,0,2017,4,0,132.0,310.0,168.0,212.66666666666666,208.14285714285714,197.35294117647058
Amaravati,2017-12-12,89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,0.28,7.01,0.19,179.0,Moderate,Andhra Pradesh,12,1,2017,4,0,147.0,196.0,198.0,158.33333333333334,205.14285714285714,194.55555555555554
Amaravati,2017-12-13,64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,0.24,6.11,0.14,145.0,Moderate,Andhra Pradesh,12,2,2017,4,0,179.0,132.0,201.0,152.66666666666666,202.42857142857142,193.73684210526315
Amaravati,2017-12-14,69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55.0,0.23,5.09,0.14,115.0,Moderate,Andhra Pradesh,12,3,2017,4,0,145.0,147.0,252.0,157.0,194.42857142857142,191.3
Amaravati,2017-12-15,71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,0.18,3.45,0.07,140.0,Moderate,Andhra Pradesh,12,4,2017,4,0,115.0,179.0,310.0,146.33333333333334,174.85714285714286,187.66666666666666
Amaravati,2017-12-16,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,0.24,4.41,0.13,156.0,Moderate,Andhra Pradesh,12,5,2017,4,0,140.0,145.0,196.0,133.33333333333334,150.57142857142858,185.5
Amaravati,2017-12-17,108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,0.31,4.32,0.24,225.0,Poor,Andhra Pradesh,12,6,2017,4,0,156.0,115.0,132.0,137.0,144.85714285714286,184.2173913043478
Amaravati,2017-12-18,100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,0.26,3.77,0.19,251.0,Poor,Andhra Pradesh,12,0,2017,4,0,225.0,140.0,147.0,173.66666666666666,158.14285714285714,185.91666666666666
Amaravati,2017-12-19,106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,0.28,3.13,0.18,228.0,Poor,Andhra Pradesh,12,1,2017,4,0,251.0,156.0,179.0,210.66666666666666,173.0,188.52
Amaravati,2017-12-20,83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,0.29,3.7,0.15,223.0,Poor,Andhra Pradesh,12,2,2017,4,0,228.0,225.0,145.0,234.66666666666666,180.0,190.03846153846155
Amaravati,2017-12-21,79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,0.33,3.95,0.19,170.0,Moderate,Andhra Pradesh,12,3,2017,4,0,223.0,251.0,115.0,234.0,191.14285714285714,191.25925925925927
Amaravati,2017-12-22,76.27,152.59,7.51,56.0,35.9,19.53,0.15,29.88,56.97,0.29,4.44,0.19,165.0,Moderate,Andhra Pradesh,12,4,2017,4,0,170.0,228.0,140.0,207.0,199.0,190.5
Amaravati,2017-12-23,86.5,147.95,5.24,42.0,26.6,20.78,0.15,11.85,73.09,0.31,3.9,0.17,159.0,Moderate,Andhra Pradesh,12,5,2017,4,0,165.0,223.0,156.0,186.0,202.57142857142858,189.6206896551724
Amaravati,2017-12-24,100.62,167.75,3.75,47.68,28.41,23.68,0.22,10.85,62.78,0.34,4.81,0.29,232.0,Poor,Andhra Pradesh,12,6,2017,4,0,159.0,170.0,225.0,164.66666666666666,203.0,188.6
Amaravati,2017-12-25,110.73,171.47,1.69,31.06,17.89,21.66,0.1,12.23,76.07,0.33,3.96,0.16,242.0,Poor,Andhra Pradesh,12,0,2017,4,0,232.0,165.0,251.0,185.33333333333334,204.0,190.2
Amaravati,2017-12-26,107.7,170.21,4.97,43.54,27.2,22.52,0.17,18.07,64.6,0.33,4.01,0.16,274.0,Poor,Andhra Pradesh,12,1,2017,4,0,242.0,159.0,228.0,211.0,202.71428571428572,192.13333333333333
Amaravati,2017-12-27,104.81,192.2,9.59,63.48,41.57,21.06,0.23,17.01,63.87,0.38,4.1,0.36,259.0,Poor,Andhra Pradesh,12,2,2017,4,0,274.0,232.0,223.0,249.33333333333334,209.28571428571428,194.7
Amaravati,2017-12-28,89.95,175.16,10.95,64.53,43.23,18.87,0.27,15.52,62.49,0.36,4.12,0.23,225.0,Poor,Andhra Pradesh,12,3,2017,4,0,259.0,242.0,170.0,258.3333333333333,214.42857142857142,196.73333333333332
Amaravati,2017-12-29,74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,0.32,3.76,0.18,177.0,Moderate,Andhra Pradesh,12,4,2017,4,0,225.0,274.0,165.0,252.66666666666666,222.28571428571428,197.96666666666667
Amaravati,2017-12-30,56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,0.25,3.28,0.14,120.0,Moderate,Andhra Pradesh,12,5,2017,4,0,177.0,259.0,159.0,220.33333333333334,224.0,198.1
Amaravati,2017-12-31,61.03,131.62,5.51,39.5,25.49,17.82,0.08,11.45,61.91,0.33,4.16,0.19,120.0,Moderate,Andhra Pradesh,12,6,2017,4,0,120.0,225.0,232.0,174.0,218.42857142857142,196.6
Amaravati,2018-01-01,59.03,108.83,3.45,23.36,15.23,18.03,0.09,26.05,87.55,0.23,3.2,0.09,120.0,Moderate,Andhra Pradesh,1,0,2018,1,0,120.0,177.0,242.0,139.0,202.42857142857142,194.23333333333332
Amaravati,2018-01-02,61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,0.2,3.84,0.04,132.0,Moderate,Andhra Pradesh,1,1,2018,1,0,120.0,120.0,274.0,120.0,185.0,191.86666666666667
Amaravati,2018-01-03,71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,0.24,6.55,0.11,136.0,Moderate,Andhra Pradesh,1,2,2018,1,0,132.0,120.0,259.0,124.0,164.71428571428572,188.7
Amaravati,2018-01-04,92.44,174.75,5.84,53.79,33.36,19.45,0.11,16.93,71.09,0.3,7.23,0.23,182.0,Moderate,Andhra Pradesh,1,3,2018,1,0,136.0,120.0,225.0,129.33333333333334,147.14285714285714,187.63333333333333
Amaravati,2018-01-05,92.9,162.69,6.38,56.39,35.19,21.02,0.08,23.11,68.79,0.29,7.88,0.2,222.0,Poor,Andhra Pradesh,1,4,2018,1,0,182.0,132.0,177.0,150.0,141.0,187.1
Amaravati,2018-01-06,85.15,151.97,11.05,61.55,41.72,18.71,0.07,11.86,90.8,0.26,7.14,0.16,230.0,Poor,Andhra Pradesh,1,5,2018,1,0,222.0,136.0,120.0,180.0,147.42857142857142,187.8
Amaravati,2018-01-07,81.47,145.68,6.45,46.9,30.18,20.18,0.07,9.63,96.49,0.25,7.26,0.15,224.0,Poor,Andhra Pradesh,1,6,2018,1,0,230.0,182.0,120.0,211.33333333333334,163.14285714285714,187.06666666666666
Amaravati,2018-01-08,81.58,132.66,3.97,34.93,21.81,21.59,0.09,12.81,118.91,0.29,6.16,0.15,217.0,Poor,Andhra Pradesh,1,0,2018,1,0,224.0,222.0,120.0,225.33333333333334,178.0,184.2
Amaravati,2018-01-09,79.56,146.64,4.44,37.58,23.6,17.71,0.05,17.77,137.61,0.05,1.1,0.02,230.0,Poor,Andhra Pradesh,1,1,2018,1,0,217.0,230.0,132.0,223.66666666666666,191.85714285714286,184.9
Amaravati,2018-01-10,87.43,155.95,3.9,37.31,23.02,22.35,0.1,13.4,121.72,0.1,1.93,0.01,229.0,Poor,Andhra Pradesh,1,2,2018,1,0,230.0,224.0,136.0,223.66666666666666,205.85714285714286,188.16666666666666
Amaravati,2018-01-11,87.33,153.97,3.95,42.52,25.82,23.66,0.08,35.39,106.17,0.22,6.61,0.07,229.0,Poor,Andhra Pradesh,1,3,2018,1,0,229.0,217.0,182.0,225.33333333333334,219.14285714285714,190.9
Amaravati,2018-01-12,110.39,182.54,4.54,52.24,31.49,24.74,0.04,36.01,82.2,0.28,8.48,0.12,235.0,Poor,Andhra Pradesh,1,4,2018,1,0,229.0,230.0,222.0,229.33333333333334,225.85714285714286,192.56666666666666
Amaravati,2018-01-13,77.51,125.01,3.85,36.41,22.49,20.06,0.05,14.36,72.16,0.19,7.12,0.07,214.0,Poor,Andhra Pradesh,1,5,2018,1,0,235.0,229.0,230.0,231.0,227.71428571428572,195.56666666666666
Amaravati,2018-01-14,86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,0.23,6.93,0.07,186.0,Moderate,Andhra Pradesh,1,6,2018,1,0,214.0,229.0,224.0,226.0,225.42857142857142,198.86666666666667
Amaravati,2018-01-15,76.29,115.53,2.96,21.35,13.75,20.38,0.05,8.75,69.99,0.18,7.71,0.07,172.0,Moderate,Andhra Pradesh,1,0,2018,1,0,186.0,235.0,217.0,211.66666666666666,220.0,200.4
Amaravati,2018-01-16,67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,0.15,6.52,0.07,138.0,Moderate,Andhra Pradesh,1,1,2018,1,0,172.0,214.0,230.0,190.66666666666666,213.57142857142858,200.93333333333334
Amaravati,2018-01-17,68.34,104.45,3.71,26.26,16.99,20.29,0.06,6.43,45.63,0.15,6.54,0.07,125.0,Moderate,Andhra Pradesh,1,2,2018,1,0,138.0,186.0,229.0,165.33333333333334,200.42857142857142,198.03333333333333
Amaravati,2018-01-18,66.28,117.3,7.36,45.13,29.99,21.68,0.05,7.21,45.97,0.19,6.81,0.1,132.0,Moderate,Andhra Pradesh,1,3,2018,1,0,125.0,172.0,229.0,145.0,185.57142857142858,193.83333333333334
Amaravati,2018-01-19,64.98,116.14,6.98,45.4,29.83,21.32,0.06,8.83,50.28,0.18,6.79,0.14,111.0,Moderate,Andhra Pradesh,1,4,2018,1,0,132.0,138.0,235.0,131.66666666666666,171.71428571428572,190.63333333333333
Amaravati,2018-01-20,75.46,132.84,9.56,56.53,37.84,21.88,0.13,30.48,51.98,0.2,6.58,0.14,137.0,Moderate,Andhra Pradesh,1,5,2018,1,0,111.0,125.0,214.0,122.66666666666667,154.0,186.9
Amaravati,2018-01-21,81.58,141.85,4.99,38.15,24.35,19.33,0.05,11.04,59.76,0.16,5.83,0.07,172.0,Moderate,Andhra Pradesh,1,6,2018,1,0,137.0,132.0,186.0,126.66666666666667,143.0,185.8
Amaravati,2018-01-22,78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,0.16,5.57,0.06,160.0,Moderate,Andhra Pradesh,1,0,2018,1,0,172.0,111.0,172.0,140.0,141.0,186.03333333333333
Amaravati,2018-01-23,79.01,138.14,6.16,45.43,29.17,20.29,0.06,10.18,58.04,0.18,5.76,0.07,163.0,Moderate,Andhra Pradesh,1,1,2018,1,0,160.0,137.0,138.0,156.33333333333334,139.28571428571428,186.06666666666666
Amaravati,2018-01-24,77.98,137.31,5.09,44.96,28.04,21.11,0.06,7.22,50.69,0.17,6.37,0.08,165.0,Moderate,Andhra Pradesh,1,2,2018,1,0,163.0,172.0,125.0,165.0,142.85714285714286,183.76666666666668
Amaravati,2018-01-25,77.96,155.73,8.4,59.92,38.7,23.45,0.06,31.01,40.77,0.18,7.39,0.13,139.0,Moderate,Andhra Pradesh,1,3,2018,1,0,165.0,160.0,132.0,162.66666666666666,148.57142857142858,181.2
Amaravati,2018-01-26,79.04,143.38,6.19,43.61,28.23,26.0,0.08,8.67,45.46,0.19,7.14,0.1,176.0,Moderate,Andhra Pradesh,1,4,2018,1,0,139.0,163.0,111.0,155.66666666666666,149.57142857142858,176.7
Amaravati,2018-01-27,77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,0.18,6.61,0.07,162.0,Moderate,Andhra Pradesh,1,5,2018,1,0,176.0,165.0,137.0,160.0,158.85714285714286,173.93333333333334
Amaravati,2018-01-28,76.48,131.86,4.06,33.37,21.04,22.05,0.06,7.49,45.71,0.16,4.43,0.06,160.0,Moderate,Andhra Pradesh,1,6,2018,1,0,162.0,139.0,172.0,159.0,162.42857142857142,171.83333333333334
Amaravati,2018-01-29,74.2,135.97,4.3,35.82,22.55,20.24,0.07,12.16,53.0,0.15,4.24,0.05,142.0,Moderate,Andhra Pradesh,1,0,2018,1,0,160.0,176.0,160.0,166.0,160.71428571428572,171.26666666666668
Amaravati,2018-01-30,78.23,140.66,5.36,45.76,28.7,21.73,0.05,12.45,45.35,0.19,4.83,0.08,172.0,Moderate,Andhra Pradesh,1,1,2018,1,0,142.0,162.0,163.0,154.66666666666666,158.14285714285714,172.0
Amaravati,2018-01-31,68.53,147.48,8.28,61.52,39.46,19.74,0.04,23.68,37.99,0.18,5.11,0.11,134.0,Moderate,Andhra Pradesh,1,2,2018,1,0,172.0,160.0,165.0,158.0,159.42857142857142,173.73333333333332
Amaravati,2018-02-01,62.08,152.59,10.08,62.18,41.29,19.42,0.05,8.97,34.93,0.16,4.65,0.13,136.0,Moderate,Andhra Pradesh,2,3,2018,1,0,134.0,142.0,139.0,149.33333333333334,155.0,174.2
Amaravati,2018-02-02,50.64,130.36,6.48,45.52,29.49,19.89,0.07,10.61,40.57,0.18,3.9,0.11,130.0,Moderate,Andhra Pradesh,2,4,2018,1,0,136.0,172.0,176.0,147.33333333333334,154.57142857142858,174.33333333333334
Amaravati,2018-02-03,44.21,119.52,3.63,34.37,21.23,23.31,0.07,5.86,31.73,0.09,3.54,0.06,111.0,Moderate,Andhra Pradesh,2,5,2018,1,0,130.0,134.0,162.0,133.33333333333334,148.0,174.13333333333333
Amaravati,2018-02-04,50.71,115.65,7.91,35.16,25.13,11.19,0.06,8.16,32.58,0.13,3.19,0.08,117.0,Moderate,Andhra Pradesh,2,6,2018,1,0,111.0,136.0,160.0,125.66666666666667,140.71428571428572,171.76666666666668
Amaravati,2018-02-05,42.27,100.54,4.95,30.69,20.33,13.4,0.66,8.99,32.18,0.12,2.8,0.09,102.0,Moderate,Andhra Pradesh,2,0,2018,1,0,117.0,130.0,142.0,119.33333333333333,134.57142857142858,168.26666666666668
Amaravati,2018-02-06,39.41,101.1,3.21,28.53,17.83,17.9,0.81,5.86,28.72,0.12,3.07,0.11,108.0,Moderate,Andhra Pradesh,2,1,2018,1,0,102.0,111.0,172.0,110.0,128.85714285714286,164.0
Amaravati,2018-02-07,50.56,116.89,6.93,37.27,25.44,11.05,0.97,5.25,23.36,0.08,2.3,0.1,99.0,Satisfactory,Andhra Pradesh,2,2,2018,1,0,108.0,117.0,134.0,109.0,119.71428571428571,160.13333333333333
Amaravati,2018-02-08,50.54,120.05,2.91,26.96,16.74,13.02,0.9,17.9,36.66,0.1,2.28,0.21,121.0,Moderate,Andhra Pradesh,2,3,2018,1,0,99.0,102.0,136.0,103.0,114.71428571428571,156.2
Amaravati,2018-02-09,26.22,62.82,2.24,20.1,12.54,12.32,0.61,8.25,23.74,0.07,3.07,0.12,86.0,Satisfactory,Andhra Pradesh,2,4,2018,1,0,121.0,108.0,130.0,109.33333333333333,112.57142857142857,152.56666666666666
Amaravati,2018-02-10,31.83,66.74,2.76,16.83,11.14,11.9,0.61,5.87,24.72,0.05,2.64,0.11,57.0,Satisfactory,Andhra Pradesh,2,5,2018,1,0,86.0,99.0,111.0,102.0,106.28571428571429,147.8
Amaravati,2018-02-11,70.26,112.29,0.4,11.87,6.57,13.05,0.62,7.29,31.4,0.06,2.1,0.1,107.0,Moderate,Andhra Pradesh,2,6,2018,1,0,57.0,121.0,117.0,88.0,98.57142857142857,142.06666666666666
Amaravati,2018-02-12,59.47,99.73,0.54,12.85,7.18,11.94,0.68,7.62,30.57,0.04,1.88,0.11,118.0,Moderate,Andhra Pradesh,2,0,2018,1,0,107.0,86.0,102.0,83.33333333333333,97.14285714285714,137.8
Amaravati,2018-02-13,58.71,99.04,0.41,13.88,7.62,11.99,0.86,6.89,36.2,0.12,1.84,0.1,110.0,Moderate,Andhra Pradesh,2,1,2018,1,0,118.0,57.0,108.0,94.0,99.42857142857143,134.6
Amaravati,2018-02-14,56.29,107.96,0.25,16.71,9.02,10.89,0.95,12.91,48.39,0.16,2.37,0.1,114.0,Moderate,Andhra Pradesh,2,2,2018,1,0,110.0,107.0,99.0,111.66666666666667,99.71428571428571,132.06666666666666
Amaravati,2018-02-15,50.41,118.62,1.68,25.6,15.01,20.24,0.69,11.81,33.46,0.17,3.82,0.11,111.0,Moderate,Andhra Pradesh,2,3,2018,1,0,114.0,118.0,121.0,114.0,101.85714285714286,130.13333333333333
Amaravati,2018-02-16,57.53,128.81,1.94,25.03,14.88,33.72,0.78,25.39,31.15,0.15,3.02,0.14,117.0,Moderate,Andhra Pradesh,2,4,2018,1,0,111.0,110.0,86.0,111.66666666666667,100.42857142857143,129.23333333333332
Amaravati,2018-02-17,43.82,97.19,1.45,16.01,9.45,22.52,0.67,17.62,27.62,0.09,2.52,0.12,107.0,Moderate,Andhra Pradesh,2,5,2018,1,0,117.0,114.0,57.0,114.0,104.85714285714286,128.96666666666667
Amaravati,2018-02-18,42.71,80.24,15.9,17.35,22.25,24.68,0.49,9.53,30.68,0.1,3.09,0.12,87.0,Satisfactory,Andhra Pradesh,2,6,2018,1,0,107.0,111.0,107.0,111.66666666666667,112.0,128.13333333333333
Amaravati,2018-02-19,54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,0.08,2.23,0.15,89.0,Satisfactory,Andhra Pradesh,2,0,2018,1,0,87.0,117.0,118.0,103.66666666666667,109.14285714285714,127.33333333333333
Amaravati,2018-02-20,50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,0.1,2.51,0.1,97.0,Satisfactory,Andhra Pradesh,2,1,2018,1,0,89.0,107.0,110.0,94.33333333333333,105.0,125.73333333333333
Amaravati,2018-02-21,38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,0.1,2.68,0.11,100.0,Satisfactory,Andhra Pradesh,2,2,2018,1,0,97.0,87.0,114.0,91.0,103.14285714285714,123.23333333333333
Amaravati,2018-02-22,32.21,107.43,7.39,17.33,15.32,18.13,0.6,11.81,24.84,0.12,3.28,0.13,105.0,Moderate,Andhra Pradesh,2,3,2018,1,0,100.0,89.0,111.0,95.33333333333333,101.14285714285714,121.23333333333333
Amaravati,2018-02-23,35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,0.09,2.92,0.2,114.0,Moderate,Andhra Pradesh,2,4,2018,1,0,105.0,97.0,117.0,100.66666666666667,100.28571428571429,119.3
Amaravati,2018-02-24,59.65,127.26,8.21,19.14,16.94,20.46,0.7,10.82,21.64,0.16,2.67,0.15,116.0,Moderate,Andhra Pradesh,2,5,2018,1,0,114.0,100.0,107.0,106.33333333333333,99.85714285714286,117.6
Amaravati,2018-02-25,46.16,115.95,11.52,17.19,18.59,16.35,0.7366666666666667,9.18,16.94,0.13,2.51,0.13,116.0,Moderate,Andhra Pradesh,2,6,2018,1,0,116.0,105.0,87.0,111.66666666666667,101.14285714285714,116.83333333333333
Amaravati,2018-02-26,34.31,107.74,9.19,20.85,18.66,15.88,0.7733333333333333,13.97,16.28,0.1,2.44,0.12,98.0,Satisfactory,Andhra Pradesh,2,0,2018,1,0,116.0,114.0,89.0,115.33333333333333,105.28571428571429,114.83333333333333
Amaravati,2018-02-27,39.52,113.31,19.35,21.18,27.0,18.5,0.81,15.02,18.8,0.15,2.65,0.2,116.0,Moderate,Andhra Pradesh,2,1,2018,1,0,98.0,116.0,97.0,110.0,106.57142857142857,112.7
Amaravati,2018-02-28,43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,0.09,2.16,0.12,108.0,Moderate,Andhra Pradesh,2,2,2018,1,0,116.0,116.0,100.0,110.0,109.28571428571429,111.23333333333333
Amaravati,2018-03-01,38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,0.06,2.12,0.11,100.0,Satisfactory,Andhra Pradesh,3,3,2018,1,1,108.0,98.0,105.0,107.33333333333333,110.42857142857143,110.1
Amaravati,2018-03-02,33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,0.05,2.04,0.1,92.0,Satisfactory,Andhra Pradesh,3,4,2018,1,1,100.0,116.0,114.0,108.0,109.71428571428571,107.7
Amaravati,2018-03-03,29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,0.05,1.85,0.1,80.0,Satisfactory,Andhra Pradesh,3,5,2018,1,1,92.0,108.0,116.0,100.0,106.57142857142857,106.3
Amaravati,2018-03-04,38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,0.06,2.18,0.11,88.0,Satisfactory,Andhra Pradesh,3,6,2018,1,1,80.0,100.0,116.0,90.66666666666667,101.42857142857143,104.43333333333334
Amaravati,2018-03-05,30.04,83.07,11.58,24.74,22.65,12.52,0.78,8.98,17.81,0.05,1.91,0.21,83.0,Satisfactory,Andhra Pradesh,3,0,2018,1,1,88.0,92.0,98.0,86.66666666666667,97.42857142857143,103.03333333333333
Amaravati,2018-03-06,39.72,103.81,19.66,26.29,30.06,14.03,0.81,9.68,17.53,0.11,2.46,0.17,100.0,Satisfactory,Andhra Pradesh,3,1,2018,1,1,83.0,80.0,116.0,83.66666666666667,95.28571428571429,102.1
Amaravati,2018-03-07,38.21,78.95,5.71,19.03,14.85,14.15,0.75,8.03,22.81,0.05,2.19,0.1,81.0,Satisfactory,Andhra Pradesh,3,2,2018,1,1,100.0,88.0,108.0,90.33333333333333,93.0,101.53333333333333
Amaravati,2018-03-08,58.31,124.64,11.93,28.85,25.14,14.0,1.03,10.21,22.24,0.12,2.38,0.16,112.0,Moderate,Andhra Pradesh,3,3,2018,1,1,81.0,83.0,100.0,88.0,89.14285714285714,100.83333333333333
Amaravati,2018-03-09,62.49,113.56,8.08,22.65,18.7,16.53,0.91,12.68,26.26,0.09,2.18,0.12,113.0,Moderate,Andhra Pradesh,3,4,2018,1,1,112.0,100.0,92.0,97.66666666666667,90.85714285714286,100.96666666666667
Amaravati,2018-03-10,49.04,102.46,5.75,19.92,15.26,14.09,0.64,6.82,26.52,0.1,2.5,0.1,105.0,Moderate,Andhra Pradesh,3,5,2018,1,1,113.0,81.0,80.0,102.0,93.85714285714286,101.43333333333334
Amaravati,2018-03-11,41.67,80.09,2.74,13.08,9.19,13.51,0.78,8.35,30.38,0.11,2.08,0.1,88.0,Satisfactory,Andhra Pradesh,3,6,2018,1,1,105.0,112.0,88.0,110.0,97.42857142857143,100.9
Amaravati,2018-03-12,32.44,75.3,6.01,19.07,15.02,12.65,0.68,7.75,21.52,0.09,2.72,0.15,78.0,Satisfactory,Andhra Pradesh,3,0,2018,1,1,88.0,113.0,83.0,102.0,97.42857142857143,100.96666666666667
Amaravati,2018-03-13,26.43,80.85,10.73,20.82,19.8,11.64,0.72,9.43,16.52,0.08,2.24,0.13,78.0,Satisfactory,Andhra Pradesh,3,1,2018,1,1,78.0,105.0,100.0,90.33333333333333,96.71428571428571,101.66666666666667
Amaravati,2018-03-14,25.08,60.67,7.17,15.22,13.94,14.1,0.56,8.63,13.8,0.05,2.19,0.12,69.0,Satisfactory,Andhra Pradesh,3,2,2018,1,1,78.0,88.0,81.0,81.33333333333333,93.57142857142857,100.7
Amaravati,2018-03-15,26.09,63.05,4.9,10.42,9.51,10.74,0.58,11.33,21.38,0.02,1.26,0.1,60.0,Satisfactory,Andhra Pradesh,3,3,2018,1,1,69.0,78.0,112.0,75.0,91.85714285714286,99.06666666666666
Amaravati,2018-03-16,16.62,39.94,4.9,8.18,8.43,11.53,0.58,6.37,12.68,0.01,1.52,0.16,51.0,Satisfactory,Andhra Pradesh,3,4,2018,1,1,60.0,78.0,113.0,69.0,84.42857142857143,97.4
Amaravati,2018-03-17,49.58,82.95,4.98,19.05,14.27,13.47,0.7,12.47,20.32,0.09,2.18,0.22,61.0,Satisfactory,Andhra Pradesh,3,5,2018,1,1,51.0,69.0,105.0,60.0,75.57142857142857,95.3
Amaravati,2018-03-18,43.52,80.01,6.41,20.43,16.16,13.75,0.8,10.57,23.36,0.12,2.6,0.29,90.0,Satisfactory,Andhra Pradesh,3,6,2018,1,1,61.0,60.0,88.0,57.333333333333336,69.28571428571429,93.63333333333334
Amaravati,2018-03-19,39.83,76.09,4.63,14.37,11.5,13.34,0.7,8.89,23.13,0.09,2.71,0.1,74.0,Satisfactory,Andhra Pradesh,3,0,2018,1,1,90.0,51.0,78.0,67.33333333333333,69.57142857142857,92.73333333333333
Amaravati,2018-03-20,36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,0.06,2.88,0.1,76.0,Satisfactory,Andhra Pradesh,3,1,2018,1,1,74.0,61.0,78.0,75.0,69.0,91.63333333333334
Amaravati,2018-03-22,52.69,94.25,4.69,14.44,11.58,15.35,0.59,16.81,19.03,0.01,1.48,0.1,92.0,Satisfactory,Andhra Pradesh,3,3,2018,1,1,84.0,74.0,60.0,78.0,70.85714285714286,91.1
Amaravati,2018-03-23,46.48,95.41,4.35,14.79,11.5,15.02,0.6,15.55,21.04,0.03,1.62,0.16,93.0,Satisfactory,Andhra Pradesh,3,4,2018,1,1,92.0,76.0,51.0,84.0,75.42857142857143,90.93333333333334
